frame,class_name,stage,elapsed_seconds,num_masks,num_points
1,chair,sam3_class,3.5392,2,0
1,table,sam3_class,3.4785,1,0
1,person,sam3_class,3.3581,1,0
1,monitor,sam3_class,3.6548,0,0
1,keyboard,sam3_class,3.4246,1,0
1,mouse,sam3_class,3.5395,0,0
1,floor,sam3_class,3.3601,2,0
1,wall,sam3_class,3.3558,1,0
1,ALL,sam3_full_frame,57.9394,8,0
1,ALL,pointcloud_generation,0.0661,0,22885
2,chair,sam3_class,3.8969,2,0
2,table,sam3_class,3.9783,1,0
2,person,sam3_class,3.7408,1,0
2,monitor,sam3_class,4.0533,0,0
2,keyboard,sam3_class,4.3363,1,0
2,mouse,sam3_class,4.1869,0,0
2,floor,sam3_class,4.1426,1,0
