frame,class_name,stage,elapsed_seconds,num_masks,num_points
1,ALL,sam3_image_embedding,0.3816,0,0
1,chair,sam3_class,0.1974,0,0
1,table,sam3_class,0.0458,0,0
1,person,sam3_class,0.0473,1,0
1,ALL,sam3_full_frame,0.6855,1,0
1,ALL,pointcloud_generation,0.0269,0,4500
2,ALL,sam3_image_embedding,0.0161,0,0
2,chair,sam3_class,0.2888,0,0
2,table,sam3_class,0.05,0,0
2,person,sam3_class,0.0499,1,0
2,ALL,sam3_full_frame,0.4172,1,0
2,ALL,pointcloud_generation,0.0267,0,4500
3,ALL,sam3_image_embedding,0.0157,0,0
3,chair,sam3_class,0.299,0,0
3,table,sam3_class,0.0522,0,0
3,person,sam3_class,0.0523,1,0
3,ALL,sam3_full_frame,0.4315,1,0
3,ALL,pointcloud_generation,0.0264,0,4500
4,ALL,sam3_image_embedding,0.0169,0,0
4,chair,sam3_class,0.2906,0,0
4,table,sam3_class,0.0514,0,0
4,person,sam3_class,0.0507,1,0
4,ALL,sam3_full_frame,0.4226,1,0
4,ALL,pointcloud_generation,0.0263,0,4500
5,ALL,sam3_image_embedding,0.0179,0,0
5,chair,sam3_class,0.3077,0,0
5,table,sam3_class,0.0514,0,0
5,person,sam3_class,0.0498,1,0
5,ALL,sam3_full_frame,0.4414,1,0
5,ALL,pointcloud_generation,0.0288,0,4500
6,ALL,sam3_image_embedding,0.0173,0,0
6,chair,sam3_class,0.2969,0,0
6,table,sam3_class,0.0508,0,0
6,person,sam3_class,0.0507,1,0
6,ALL,sam3_full_frame,0.4295,1,0
6,ALL,pointcloud_generation,0.0278,0,4500
7,ALL,sam3_image_embedding,0.017,0,0
7,chair,sam3_class,0.3027,0,0
7,table,sam3_class,0.0536,0,0
7,person,sam3_class,0.051,1,0
7,ALL,sam3_full_frame,0.4376,1,0
7,ALL,pointcloud_generation,0.0277,0,4500
8,ALL,sam3_image_embedding,0.0165,0,0
8,chair,sam3_class,0.3072,0,0
8,table,sam3_class,0.0501,0,0
8,person,sam3_class,0.051,1,0
8,ALL,sam3_full_frame,0.4383,1,0
