frame,class_name,stage,elapsed_seconds,num_masks,num_points
1,ALL,sam3_image_embedding,0.4727,0,0
1,chair,sam3_class,0.2436,0,0
1,table,sam3_class,0.0485,0,0
1,person,sam3_class,0.0521,1,0
1,monitor,sam3_class,0.0485,0,0
1,keyboard,sam3_class,0.0489,0,0
1,mouse,sam3_class,0.0484,0,0
1,floor,sam3_class,0.0487,0,0
1,wall,sam3_class,0.0488,1,0
1,ALL,sam3_full_frame,1.0883,2,0
1,ALL,pointcloud_generation,0.0129,0,8933
2,ALL,sam3_image_embedding,0.0157,0,0
2,chair,sam3_class,0.3065,0,0
2,table,sam3_class,0.0514,0,0
2,person,sam3_class,0.0498,1,0
2,monitor,sam3_class,0.0471,0,0
2,keyboard,sam3_class,0.0483,0,0
2,mouse,sam3_class,0.0496,0,0
2,floor,sam3_class,0.0483,0,0
2,wall,sam3_class,0.0501,1,0
2,ALL,sam3_full_frame,0.693,2,0
2,ALL,pointcloud_generation,0.0136,0,8979
3,ALL,sam3_image_embedding,0.0158,0,0
3,chair,sam3_class,0.3092,0,0
3,table,sam3_class,0.0511,0,0
3,person,sam3_class,0.0507,1,0
3,monitor,sam3_class,0.0487,0,0
3,keyboard,sam3_class,0.049,0,0
3,mouse,sam3_class,0.0492,0,0
3,floor,sam3_class,0.0491,0,0
3,wall,sam3_class,0.05,1,0
3,ALL,sam3_full_frame,0.6993,2,0
3,ALL,pointcloud_generation,0.014,0,8914
4,ALL,sam3_image_embedding,0.0176,0,0
4,chair,sam3_class,0.2985,0,0
4,table,sam3_class,0.0525,0,0
4,person,sam3_class,0.0512,1,0
4,monitor,sam3_class,0.0487,0,0
4,keyboard,sam3_class,0.0489,0,0
4,mouse,sam3_class,0.0493,0,0
4,floor,sam3_class,0.049,0,0
4,wall,sam3_class,0.0499,1,0
4,ALL,sam3_full_frame,0.6912,2,0
4,ALL,pointcloud_generation,0.0134,0,8844
5,ALL,sam3_image_embedding,0.0166,0,0
5,chair,sam3_class,0.307,0,0
5,table,sam3_class,0.0508,0,0
5,person,sam3_class,0.0502,1,0
5,monitor,sam3_class,0.049,0,0
5,keyboard,sam3_class,0.0491,0,0
5,mouse,sam3_class,0.05,0,0
5,floor,sam3_class,0.0492,0,0
5,wall,sam3_class,0.0513,1,0
5,ALL,sam3_full_frame,0.7009,2,0
5,ALL,pointcloud_generation,0.0135,0,8827
6,ALL,sam3_image_embedding,0.0172,0,0
6,chair,sam3_class,0.2989,0,0
6,table,sam3_class,0.0528,0,0
6,person,sam3_class,0.0504,1,0
6,monitor,sam3_class,0.0473,0,0
6,keyboard,sam3_class,0.0488,0,0
6,mouse,sam3_class,0.0492,0,0
6,floor,sam3_class,0.0494,0,0
6,wall,sam3_class,0.05,1,0
6,ALL,sam3_full_frame,0.6912,2,0
6,ALL,pointcloud_generation,0.0136,0,8785
7,ALL,sam3_image_embedding,0.0171,0,0
7,chair,sam3_class,0.3115,0,0
7,table,sam3_class,0.0508,0,0
7,person,sam3_class,0.0506,1,0
7,monitor,sam3_class,0.0483,0,0
7,keyboard,sam3_class,0.0496,0,0
7,mouse,sam3_class,0.0499,0,0
7,floor,sam3_class,0.049,0,0
7,wall,sam3_class,0.0505,1,0
7,ALL,sam3_full_frame,0.7038,2,0
7,ALL,pointcloud_generation,0.0137,0,8778
8,ALL,sam3_image_embedding,0.0173,0,0
8,chair,sam3_class,0.3118,0,0
8,table,sam3_class,0.0507,0,0
8,person,sam3_class,0.0506,1,0
8,monitor,sam3_class,0.0479,0,0
8,keyboard,sam3_class,0.0491,0,0
8,mouse,sam3_class,0.0491,0,0
8,floor,sam3_class,0.0495,0,0
8,wall,sam3_class,0.0502,2,0
8,ALL,sam3_full_frame,0.7031,3,0
8,ALL,pointcloud_generation,0.0136,0,8804
9,ALL,sam3_image_embedding,0.0174,0,0
9,chair,sam3_class,0.3065,0,0
9,table,sam3_class,0.0512,0,0
9,person,sam3_class,0.0504,1,0
9,monitor,sam3_class,0.0492,0,0
9,keyboard,sam3_class,0.0497,0,0
9,mouse,sam3_class,0.0491,0,0
9,floor,sam3_class,0.0494,0,0
9,wall,sam3_class,0.0504,1,0
9,ALL,sam3_full_frame,0.7,2,0
9,ALL,pointcloud_generation,0.0135,0,8771
10,ALL,sam3_image_embedding,0.0172,0,0
10,chair,sam3_class,0.3035,0,0
10,table,sam3_class,0.0503,0,0
10,person,sam3_class,0.0503,1,0
10,monitor,sam3_class,0.0488,0,0
10,keyboard,sam3_class,0.0496,0,0
10,mouse,sam3_class,0.0488,0,0
10,floor,sam3_class,0.0499,0,0
