frame,class_name,stage,elapsed_seconds,num_masks,num_points,fps,vram_mb,num_classes
1,ALL,sam3_image_embedding,0.3784,0,0,0.0,0.0,0
1,chair,sam3_class,0.1975,0,0,0.0,0.0,0
1,table,sam3_class,0.0475,1,0,0.0,0.0,0
1,person,sam3_class,0.049,1,0,0.0,0.0,0
1,monitor,sam3_class,0.0478,0,0,0.0,0.0,0
1,keyboard,sam3_class,0.048,0,0,0.0,0.0,0
1,mouse,sam3_class,0.0493,0,0,0.0,0.0,0
1,floor,sam3_class,0.0486,0,0,0.0,0.0,0
1,wall,sam3_class,0.0503,1,0,0.0,0.0,0
1,ALL,sam3_full_frame,0.9484,3,0,0.0,0.0,0
1,ALL,pointcloud_generation,0.0557,0,9702,0.0,0.0,0
1,ALL,full_pipeline,1.0655,0,9702,0.94,3418.8,3
2,ALL,pointcloud_generation,0.0545,0,9703,0.0,0.0,0
2,ALL,full_pipeline,0.0996,0,9703,10.04,3418.8,3
3,ALL,pointcloud_generation,0.0553,0,9730,0.0,0.0,0
3,ALL,full_pipeline,0.0986,0,9730,10.14,3418.8,3
4,ALL,pointcloud_generation,0.0546,0,9734,0.0,0.0,0
4,ALL,full_pipeline,0.098,0,9734,10.21,3418.8,3
5,ALL,sam3_image_embedding,0.0171,0,0,0.0,0.0,0
5,chair,sam3_class,0.3051,0,0,0.0,0.0,0
5,table,sam3_class,0.0513,1,0,0.0,0.0,0
5,person,sam3_class,0.0493,1,0,0.0,0.0,0
5,monitor,sam3_class,0.0489,0,0,0.0,0.0,0
5,keyboard,sam3_class,0.0491,0,0,0.0,0.0,0
5,mouse,sam3_class,0.0491,0,0,0.0,0.0,0
5,floor,sam3_class,0.0491,0,0,0.0,0.0,0
5,wall,sam3_class,0.0503,1,0,0.0,0.0,0
5,ALL,sam3_full_frame,0.6999,3,0,0.0,0.0,0
5,ALL,pointcloud_generation,0.0507,0,9725,0.0,0.0,0
5,ALL,full_pipeline,0.7933,0,9725,1.26,3418.8,3
6,ALL,pointcloud_generation,0.0581,0,9693,0.0,0.0,0
6,ALL,full_pipeline,0.1021,0,9693,9.79,3418.8,3
7,ALL,pointcloud_generation,0.0535,0,9731,0.0,0.0,0
7,ALL,full_pipeline,0.0963,0,9731,10.38,3418.8,3
8,ALL,pointcloud_generation,0.0549,0,9737,0.0,0.0,0
8,ALL,full_pipeline,0.0996,0,9737,10.04,3418.8,3
9,ALL,pointcloud_generation,0.0566,0,9751,0.0,0.0,0
9,ALL,full_pipeline,0.1001,0,9751,9.99,3418.8,3
10,ALL,sam3_image_embedding,0.0157,0,0,0.0,0.0,0
10,chair,sam3_class,0.3055,0,0,0.0,0.0,0
10,table,sam3_class,0.0512,1,0,0.0,0.0,0
10,person,sam3_class,0.0496,1,0,0.0,0.0,0
10,monitor,sam3_class,0.0483,0,0,0.0,0.0,0
10,keyboard,sam3_class,0.0497,0,0,0.0,0.0,0
10,mouse,sam3_class,0.0494,0,0,0.0,0.0,0
10,floor,sam3_class,0.0496,0,0,0.0,0.0,0
10,wall,sam3_class,0.0491,1,0,0.0,0.0,0
10,ALL,sam3_full_frame,0.6987,3,0,0.0,0.0,0
10,ALL,pointcloud_generation,0.0489,0,8861,0.0,0.0,0
10,ALL,full_pipeline,0.7928,0,8861,1.26,3418.8,3
11,ALL,pointcloud_generation,0.0528,0,8895,0.0,0.0,0
11,ALL,full_pipeline,0.095,0,8895,10.52,3418.8,3
12,ALL,pointcloud_generation,0.0519,0,8900,0.0,0.0,0
12,ALL,full_pipeline,0.0956,0,8900,10.46,3418.8,3
13,ALL,pointcloud_generation,0.0517,0,8893,0.0,0.0,0
13,ALL,full_pipeline,0.0955,0,8893,10.47,3418.8,3
