frame,class_name,stage,elapsed_seconds,num_masks,num_points
9,mouse,sam3_class,0.0499,0,0
9,floor,sam3_class,0.0494,0,0
9,wall,sam3_class,0.0504,1,0
9,ALL,sam3_full_frame,0.6942,2,0
9,ALL,pointcloud_generation,0.014,0,10000
10,chair,sam3_class,0.3076,0,0
10,table,sam3_class,0.0502,0,0
10,person,sam3_class,0.0506,1,0
10,monitor,sam3_class,0.0502,0,0
10,keyboard,sam3_class,0.0492,0,0
10,mouse,sam3_class,0.0502,0,0
10,floor,sam3_class,0.049,0,0
10,wall,sam3_class,0.051,1,0
10,ALL,sam3_full_frame,0.7031,2,0
10,ALL,pointcloud_generation,0.014,0,10000
11,chair,sam3_class,0.3013,1,0
11,table,sam3_class,0.0529,1,0
11,person,sam3_class,0.05,0,0
11,monitor,sam3_class,0.0492,0,0
11,keyboard,sam3_class,0.0501,0,0
11,mouse,sam3_class,0.0494,0,0
11,floor,sam3_class,0.0494,0,0
11,wall,sam3_class,0.0504,2,0
11,ALL,sam3_full_frame,0.6929,4,0
11,ALL,pointcloud_generation,0.0105,0,6825
12,chair,sam3_class,0.3017,1,0
12,table,sam3_class,0.0514,1,0
12,person,sam3_class,0.0494,0,0
12,monitor,sam3_class,0.0491,0,0
12,keyboard,sam3_class,0.0495,0,0
12,mouse,sam3_class,0.0489,0,0
12,floor,sam3_class,0.0496,0,0
12,wall,sam3_class,0.0507,2,0
12,ALL,sam3_full_frame,0.69,4,0
12,ALL,pointcloud_generation,0.0103,0,6765
13,chair,sam3_class,0.3011,1,0
13,table,sam3_class,0.0534,1,0
13,person,sam3_class,0.0502,0,0
13,monitor,sam3_class,0.0488,0,0
13,keyboard,sam3_class,0.0497,0,0
13,mouse,sam3_class,0.0495,0,0
13,floor,sam3_class,0.0492,0,0
13,wall,sam3_class,0.0506,2,0
13,ALL,sam3_full_frame,0.69,4,0
13,ALL,pointcloud_generation,0.009,0,5244
14,chair,sam3_class,0.3139,1,0
14,table,sam3_class,0.0537,1,0
14,person,sam3_class,0.0491,0,0
14,monitor,sam3_class,0.0498,0,0
14,keyboard,sam3_class,0.0498,0,0
14,mouse,sam3_class,0.0497,0,0
14,floor,sam3_class,0.05,0,0
14,wall,sam3_class,0.0514,2,0
14,ALL,sam3_full_frame,0.7062,4,0
14,ALL,pointcloud_generation,0.008,0,4618
15,chair,sam3_class,0.3131,1,0
15,table,sam3_class,0.052,1,0
15,person,sam3_class,0.0488,0,0
15,monitor,sam3_class,0.049,0,0
15,keyboard,sam3_class,0.0495,0,0
15,mouse,sam3_class,0.0494,0,0
15,floor,sam3_class,0.0498,0,0
15,wall,sam3_class,0.0508,1,0
15,ALL,sam3_full_frame,0.6996,3,0
15,ALL,pointcloud_generation,0.0071,0,3619
16,chair,sam3_class,0.3093,2,0
16,table,sam3_class,0.051,1,0
16,person,sam3_class,0.0487,0,0
16,monitor,sam3_class,0.049,0,0
16,keyboard,sam3_class,0.0498,0,0
16,mouse,sam3_class,0.0505,0,0
16,floor,sam3_class,0.0505,0,0
16,wall,sam3_class,0.0515,2,0
16,ALL,sam3_full_frame,0.6989,5,0
16,ALL,pointcloud_generation,0.0086,0,4985
17,chair,sam3_class,0.3155,2,0
17,table,sam3_class,0.0513,1,0
17,person,sam3_class,0.0485,0,0
17,monitor,sam3_class,0.049,0,0
17,keyboard,sam3_class,0.0493,0,0
17,mouse,sam3_class,0.0494,0,0
17,floor,sam3_class,0.0495,0,0
17,wall,sam3_class,0.0502,2,0
17,ALL,sam3_full_frame,0.7016,5,0
17,ALL,pointcloud_generation,0.0091,0,5235
18,chair,sam3_class,0.3092,2,0
18,table,sam3_class,0.0526,1,0
18,person,sam3_class,0.0484,0,0
18,monitor,sam3_class,0.0491,0,0
18,keyboard,sam3_class,0.0499,0,0
18,mouse,sam3_class,0.0489,0,0
18,floor,sam3_class,0.0502,1,0
18,wall,sam3_class,0.052,4,0
18,ALL,sam3_full_frame,0.703,8,0
18,ALL,pointcloud_generation,0.0097,0,6167
19,chair,sam3_class,0.3143,2,0
19,table,sam3_class,0.0521,1,0
19,person,sam3_class,0.0491,0,0
19,monitor,sam3_class,0.0495,0,0
19,keyboard,sam3_class,0.0491,0,0
19,mouse,sam3_class,0.0496,0,0
19,floor,sam3_class,0.0516,3,0
19,wall,sam3_class,0.0514,4,0
19,ALL,sam3_full_frame,0.7093,10,0
19,ALL,pointcloud_generation,0.0103,0,6561
20,chair,sam3_class,0.3057,2,0
20,table,sam3_class,0.0553,1,0
20,person,sam3_class,0.049,0,0
20,monitor,sam3_class,0.0497,0,0
20,keyboard,sam3_class,0.0498,0,0
20,mouse,sam3_class,0.0514,0,0
20,floor,sam3_class,0.0508,1,0
20,wall,sam3_class,0.0502,1,0
20,ALL,sam3_full_frame,0.7048,5,0
20,ALL,pointcloud_generation,0.0103,0,6533
21,chair,sam3_class,0.3126,2,0
21,table,sam3_class,0.0502,1,0
21,person,sam3_class,0.0489,0,0
21,monitor,sam3_class,0.0494,0,0
21,keyboard,sam3_class,0.0497,0,0
21,mouse,sam3_class,0.05,0,0
21,floor,sam3_class,0.0517,3,0
21,wall,sam3_class,0.05,1,0
21,ALL,sam3_full_frame,0.7066,7,0
21,ALL,pointcloud_generation,0.0108,0,6755
22,chair,sam3_class,0.2973,2,0
22,table,sam3_class,0.053,1,0
22,person,sam3_class,0.0487,0,0
22,monitor,sam3_class,0.0491,0,0
22,keyboard,sam3_class,0.0497,0,0
22,mouse,sam3_class,0.0496,0,0
22,floor,sam3_class,0.0512,2,0
22,wall,sam3_class,0.0506,2,0
22,ALL,sam3_full_frame,0.6934,7,0
22,ALL,pointcloud_generation,0.011,0,6863
23,chair,sam3_class,0.3121,3,0
23,table,sam3_class,0.0507,1,0
23,person,sam3_class,0.0483,0,0
23,monitor,sam3_class,0.0492,0,0
23,keyboard,sam3_class,0.0499,0,0
23,mouse,sam3_class,0.0498,0,0
23,floor,sam3_class,0.0513,3,0
23,wall,sam3_class,0.0504,2,0
23,ALL,sam3_full_frame,0.7061,9,0
23,ALL,pointcloud_generation,0.0108,0,6767
24,chair,sam3_class,0.3091,3,0
24,table,sam3_class,0.0558,1,0
24,person,sam3_class,0.0485,0,0
24,monitor,sam3_class,0.0499,0,0
24,keyboard,sam3_class,0.0499,0,0
24,mouse,sam3_class,0.05,0,0
24,floor,sam3_class,0.0548,3,0
24,wall,sam3_class,0.0488,1,0
24,ALL,sam3_full_frame,0.7122,8,0
24,ALL,pointcloud_generation,0.0108,0,6790
25,chair,sam3_class,0.3157,2,0
25,table,sam3_class,0.0514,1,0
25,person,sam3_class,0.0485,0,0
25,monitor,sam3_class,0.0494,0,0
25,keyboard,sam3_class,0.0506,0,0
25,mouse,sam3_class,0.0495,0,0
25,floor,sam3_class,0.0519,2,0
25,wall,sam3_class,0.0497,1,0
25,ALL,sam3_full_frame,0.7116,6,0
25,ALL,pointcloud_generation,0.0109,0,6674
26,chair,sam3_class,0.3096,3,0
26,table,sam3_class,0.0536,1,0
