frame,class_name,stage,elapsed_seconds,num_masks,num_points
1,chair,sam3_class,0.1939,0,0
1,table,sam3_class,0.0462,0,0
1,person,sam3_class,0.0497,1,0
1,monitor,sam3_class,0.0485,0,0
1,keyboard,sam3_class,0.0484,0,0
1,mouse,sam3_class,0.0498,0,0
1,floor,sam3_class,0.0492,0,0
1,wall,sam3_class,0.0506,1,0
1,ALL,sam3_full_frame,0.9295,2,0
1,ALL,pointcloud_generation,0.0127,0,8983
2,chair,sam3_class,0.3086,0,0
2,table,sam3_class,0.0518,0,0
2,person,sam3_class,0.0501,1,0
2,monitor,sam3_class,0.0484,0,0
2,keyboard,sam3_class,0.0488,0,0
2,mouse,sam3_class,0.049,0,0
2,floor,sam3_class,0.0495,0,0
2,wall,sam3_class,0.0497,1,0
2,ALL,sam3_full_frame,0.6962,2,0
2,ALL,pointcloud_generation,0.0132,0,8954
3,chair,sam3_class,0.3075,0,0
3,table,sam3_class,0.0516,0,0
3,person,sam3_class,0.0503,1,0
3,monitor,sam3_class,0.0484,0,0
3,keyboard,sam3_class,0.0489,0,0
3,mouse,sam3_class,0.0492,0,0
3,floor,sam3_class,0.0491,0,0
3,wall,sam3_class,0.0495,1,0
3,ALL,sam3_full_frame,0.695,2,0
3,ALL,pointcloud_generation,0.013,0,8886
4,chair,sam3_class,0.3091,0,0
4,table,sam3_class,0.052,0,0
4,person,sam3_class,0.0501,1,0
4,monitor,sam3_class,0.0486,0,0
4,keyboard,sam3_class,0.0484,0,0
4,mouse,sam3_class,0.0496,0,0
4,floor,sam3_class,0.0493,0,0
4,wall,sam3_class,0.0513,3,0
4,ALL,sam3_full_frame,0.6989,4,0
4,ALL,pointcloud_generation,0.0132,0,8913
5,chair,sam3_class,0.3069,0,0
5,table,sam3_class,0.0518,0,0
5,person,sam3_class,0.0504,1,0
5,monitor,sam3_class,0.0483,0,0
5,keyboard,sam3_class,0.0491,0,0
5,mouse,sam3_class,0.0494,0,0
5,floor,sam3_class,0.0491,0,0
5,wall,sam3_class,0.0497,1,0
5,ALL,sam3_full_frame,0.6984,2,0
5,ALL,pointcloud_generation,0.0142,0,9910
6,chair,sam3_class,0.3034,0,0
6,table,sam3_class,0.051,0,0
6,person,sam3_class,0.0503,1,0
6,monitor,sam3_class,0.0481,0,0
6,keyboard,sam3_class,0.0492,0,0
6,mouse,sam3_class,0.0493,0,0
6,floor,sam3_class,0.0495,0,0
6,wall,sam3_class,0.0502,1,0
6,ALL,sam3_full_frame,0.6942,2,0
6,ALL,pointcloud_generation,0.0139,0,10000
7,chair,sam3_class,0.3025,0,0
7,table,sam3_class,0.0528,0,0
7,person,sam3_class,0.0508,1,0
7,monitor,sam3_class,0.0479,0,0
7,keyboard,sam3_class,0.0481,0,0
7,mouse,sam3_class,0.0497,0,0
7,floor,sam3_class,0.0489,0,0
7,wall,sam3_class,0.0504,1,0
7,ALL,sam3_full_frame,0.6928,2,0
7,ALL,pointcloud_generation,0.014,0,9862
8,chair,sam3_class,0.3082,0,0
8,table,sam3_class,0.0505,0,0
8,person,sam3_class,0.0505,1,0
8,monitor,sam3_class,0.0479,0,0
8,keyboard,sam3_class,0.0487,0,0
8,mouse,sam3_class,0.0495,0,0
8,floor,sam3_class,0.0496,0,0
8,wall,sam3_class,0.0501,1,0
8,ALL,sam3_full_frame,0.6991,2,0
8,ALL,pointcloud_generation,0.0142,0,9990
9,chair,sam3_class,0.3031,0,0
9,table,sam3_class,0.0507,0,0
9,person,sam3_class,0.0504,1,0
9,monitor,sam3_class,0.0489,0,0
9,keyboard,sam3_class,0.0487,0,0
