frame,class_name,stage,elapsed_seconds,num_masks,num_points
1,chair,sam3_class,3.3388,2,0
1,table,sam3_class,3.3446,1,0
1,person,sam3_class,3.4713,1,0
1,monitor,sam3_class,3.481,0,0
1,keyboard,sam3_class,3.5343,1,0
1,mouse,sam3_class,3.5878,1,0
1,floor,sam3_class,3.9842,1,0
1,wall,sam3_class,3.8782,1,0
1,ALL,sam3_full_frame,58.795,8,0
1,ALL,pointcloud_generation,0.0169,0,4773
2,chair,sam3_class,4.2765,2,0
2,table,sam3_class,4.3418,1,0
2,person,sam3_class,4.2848,1,0
2,monitor,sam3_class,4.2659,0,0
2,keyboard,sam3_class,4.6213,1,0
2,mouse,sam3_class,4.4979,1,0
2,floor,sam3_class,4.4167,0,0
2,wall,sam3_class,4.3622,1,0
2,ALL,sam3_full_frame,73.3123,7,0
2,ALL,pointcloud_generation,0.0179,0,4966
