frame,class_name,stage,elapsed_seconds,num_masks,num_points
1,ALL,sam3_image_embedding,0.3734,0,0
1,chair,sam3_class,0.1994,0,0
1,table,sam3_class,0.0471,0,0
1,person,sam3_class,0.0509,1,0
1,monitor,sam3_class,0.0482,0,0
1,keyboard,sam3_class,0.048,0,0
1,mouse,sam3_class,0.0497,0,0
1,floor,sam3_class,0.0497,0,0
1,wall,sam3_class,0.0511,2,0
1,ALL,sam3_full_frame,0.9481,3,0
1,ALL,pointcloud_generation,0.0698,0,45223
2,ALL,sam3_image_embedding,0.0225,0,0
2,chair,sam3_class,0.2956,0,0
2,table,sam3_class,0.0513,0,0
2,person,sam3_class,0.0505,1,0
2,monitor,sam3_class,0.0497,0,0
2,keyboard,sam3_class,0.0495,0,0
2,mouse,sam3_class,0.0496,0,0
2,floor,sam3_class,0.05,0,0
2,wall,sam3_class,0.0507,1,0
2,ALL,sam3_full_frame,0.6975,2,0
2,ALL,pointcloud_generation,0.0756,0,46551
3,ALL,sam3_image_embedding,0.019,0,0
3,chair,sam3_class,0.3103,0,0
3,table,sam3_class,0.0515,0,0
3,person,sam3_class,0.0506,1,0
3,monitor,sam3_class,0.0486,0,0
3,keyboard,sam3_class,0.0497,0,0
3,mouse,sam3_class,0.0503,0,0
3,floor,sam3_class,0.0496,0,0
3,wall,sam3_class,0.0505,1,0
3,ALL,sam3_full_frame,0.7081,2,0
3,ALL,pointcloud_generation,0.0691,0,44074
4,ALL,sam3_image_embedding,0.0182,0,0
4,chair,sam3_class,0.3093,0,0
4,table,sam3_class,0.0513,0,0
4,person,sam3_class,0.0504,1,0
4,monitor,sam3_class,0.0496,0,0
4,keyboard,sam3_class,0.0499,0,0
4,mouse,sam3_class,0.05,0,0
4,floor,sam3_class,0.0501,0,0
4,wall,sam3_class,0.0505,1,0
4,ALL,sam3_full_frame,0.7064,2,0
4,ALL,pointcloud_generation,0.0692,0,43778
5,ALL,sam3_image_embedding,0.0178,0,0
5,chair,sam3_class,0.3063,0,0
5,table,sam3_class,0.0514,0,0
5,person,sam3_class,0.0524,4,0
5,monitor,sam3_class,0.0499,0,0
5,keyboard,sam3_class,0.05,0,0
5,mouse,sam3_class,0.0497,0,0
5,floor,sam3_class,0.05,0,0
5,wall,sam3_class,0.051,1,0
5,ALL,sam3_full_frame,0.704,5,0
5,ALL,pointcloud_generation,0.0628,0,38185
6,ALL,sam3_image_embedding,0.018,0,0
6,chair,sam3_class,0.3088,0,0
6,table,sam3_class,0.0515,0,0
6,person,sam3_class,0.0515,2,0
6,monitor,sam3_class,0.0477,0,0
6,keyboard,sam3_class,0.0494,0,0
6,mouse,sam3_class,0.0507,0,0
6,floor,sam3_class,0.0497,0,0
6,wall,sam3_class,0.0507,1,0
6,ALL,sam3_full_frame,0.705,3,0
6,ALL,pointcloud_generation,0.0686,0,43267
7,ALL,sam3_image_embedding,0.0186,0,0
7,chair,sam3_class,0.3072,0,0
7,table,sam3_class,0.0524,0,0
7,person,sam3_class,0.0528,2,0
7,monitor,sam3_class,0.0501,0,0
7,keyboard,sam3_class,0.0498,0,0
7,mouse,sam3_class,0.0503,0,0
7,floor,sam3_class,0.0494,0,0
7,wall,sam3_class,0.0513,1,0
7,ALL,sam3_full_frame,0.7094,3,0
7,ALL,pointcloud_generation,0.0694,0,43296
8,ALL,sam3_image_embedding,0.0208,0,0
8,chair,sam3_class,0.3084,0,0
8,table,sam3_class,0.0514,0,0
8,person,sam3_class,0.0515,1,0
8,monitor,sam3_class,0.0511,0,0
8,keyboard,sam3_class,0.0506,0,0
8,mouse,sam3_class,0.0513,0,0
8,floor,sam3_class,0.0509,0,0
8,wall,sam3_class,0.0507,1,0
8,ALL,sam3_full_frame,0.7147,2,0
8,ALL,pointcloud_generation,0.0719,0,44263
9,ALL,sam3_image_embedding,0.0198,0,0
9,chair,sam3_class,0.3155,0,0
9,table,sam3_class,0.0511,0,0
9,person,sam3_class,0.0509,1,0
9,monitor,sam3_class,0.0491,0,0
9,keyboard,sam3_class,0.0498,0,0
9,mouse,sam3_class,0.0502,0,0
9,floor,sam3_class,0.0498,0,0
9,wall,sam3_class,0.0509,1,0
9,ALL,sam3_full_frame,0.7147,2,0
9,ALL,pointcloud_generation,0.0646,0,44141
10,ALL,sam3_image_embedding,0.0205,0,0
10,chair,sam3_class,0.3129,0,0
10,table,sam3_class,0.051,0,0
10,person,sam3_class,0.0514,1,0
10,monitor,sam3_class,0.049,0,0
10,keyboard,sam3_class,0.05,0,0
10,mouse,sam3_class,0.05,0,0
10,floor,sam3_class,0.0502,0,0
10,wall,sam3_class,0.05,1,0
10,ALL,sam3_full_frame,0.7134,2,0
10,ALL,pointcloud_generation,0.0722,0,44115
11,ALL,sam3_image_embedding,0.0172,0,0
11,chair,sam3_class,0.3158,0,0
11,table,sam3_class,0.0519,0,0
11,person,sam3_class,0.0517,1,0
11,monitor,sam3_class,0.0496,0,0
11,keyboard,sam3_class,0.0506,0,0
11,mouse,sam3_class,0.0503,0,0
11,floor,sam3_class,0.0501,0,0
11,wall,sam3_class,0.0514,1,0
11,ALL,sam3_full_frame,0.7168,2,0
11,ALL,pointcloud_generation,0.0722,0,44105
12,ALL,sam3_image_embedding,0.0188,0,0
12,chair,sam3_class,0.3139,0,0
12,table,sam3_class,0.0512,0,0
12,person,sam3_class,0.0509,1,0
12,monitor,sam3_class,0.0503,0,0
12,keyboard,sam3_class,0.0499,0,0
12,mouse,sam3_class,0.0506,0,0
12,floor,sam3_class,0.0499,0,0
