frame,class_name,stage,elapsed_seconds,num_masks,num_points
1,ALL,sam3_image_embedding,0.3718,0,0
1,chair,sam3_class,0.1961,0,0
1,table,sam3_class,0.046,0,0
1,person,sam3_class,0.0505,1,0
1,monitor,sam3_class,0.0488,0,0
1,keyboard,sam3_class,0.0495,0,0
1,mouse,sam3_class,0.049,0,0
1,floor,sam3_class,0.0491,0,0
1,wall,sam3_class,0.0507,2,0
1,ALL,sam3_full_frame,0.9408,3,0
1,ALL,pointcloud_generation,0.1765,0,50000
2,ALL,sam3_image_embedding,0.0177,0,0
2,chair,sam3_class,0.3087,0,0
2,table,sam3_class,0.0506,0,0
2,person,sam3_class,0.0504,1,0
2,monitor,sam3_class,0.0487,0,0
2,keyboard,sam3_class,0.0505,0,0
2,mouse,sam3_class,0.0501,0,0
2,floor,sam3_class,0.0498,0,0
2,wall,sam3_class,0.0516,3,0
2,ALL,sam3_full_frame,0.7052,4,0
2,ALL,pointcloud_generation,0.1689,0,50000
3,ALL,sam3_image_embedding,0.0189,0,0
3,chair,sam3_class,0.3078,0,0
3,table,sam3_class,0.0505,0,0
3,person,sam3_class,0.0503,1,0
3,monitor,sam3_class,0.0485,0,0
3,keyboard,sam3_class,0.0492,0,0
3,mouse,sam3_class,0.0495,0,0
3,floor,sam3_class,0.0498,0,0
3,wall,sam3_class,0.051,2,0
3,ALL,sam3_full_frame,0.7035,3,0
3,ALL,pointcloud_generation,0.1719,0,50000
4,ALL,sam3_image_embedding,0.0199,0,0
4,chair,sam3_class,0.3099,0,0
4,table,sam3_class,0.0511,0,0
4,person,sam3_class,0.0511,1,0
4,monitor,sam3_class,0.0489,0,0
4,keyboard,sam3_class,0.0492,0,0
4,mouse,sam3_class,0.05,0,0
4,floor,sam3_class,0.0497,0,0
4,wall,sam3_class,0.0511,2,0
4,ALL,sam3_full_frame,0.7092,3,0
4,ALL,pointcloud_generation,0.1754,0,50000
5,ALL,sam3_image_embedding,0.0158,0,0
5,chair,sam3_class,0.314,0,0
5,table,sam3_class,0.0505,0,0
5,person,sam3_class,0.0516,2,0
5,monitor,sam3_class,0.0493,0,0
5,keyboard,sam3_class,0.0493,0,0
5,mouse,sam3_class,0.0504,0,0
5,floor,sam3_class,0.0494,0,0
5,wall,sam3_class,0.0509,1,0
5,ALL,sam3_full_frame,0.7058,3,0
5,ALL,pointcloud_generation,0.163,0,50000
6,ALL,sam3_image_embedding,0.0164,0,0
6,chair,sam3_class,0.314,0,0
6,table,sam3_class,0.051,0,0
6,person,sam3_class,0.051,2,0
6,monitor,sam3_class,0.0498,1,0
6,keyboard,sam3_class,0.0485,0,0
6,mouse,sam3_class,0.0505,0,0
6,floor,sam3_class,0.0499,0,0
6,wall,sam3_class,0.0508,1,0
6,ALL,sam3_full_frame,0.7076,4,0
6,ALL,pointcloud_generation,0.1596,0,49998
7,ALL,sam3_image_embedding,0.016,0,0
7,chair,sam3_class,0.3125,0,0
7,table,sam3_class,0.0512,0,0
7,person,sam3_class,0.0517,2,0
7,monitor,sam3_class,0.0491,0,0
7,keyboard,sam3_class,0.0506,0,0
7,mouse,sam3_class,0.0493,0,0
7,floor,sam3_class,0.0504,0,0
7,wall,sam3_class,0.0506,1,0
7,ALL,sam3_full_frame,0.7026,3,0
7,ALL,pointcloud_generation,0.1599,0,50000
8,ALL,sam3_image_embedding,0.019,0,0
8,chair,sam3_class,0.3121,0,0
8,table,sam3_class,0.0513,0,0
8,person,sam3_class,0.0514,2,0
8,monitor,sam3_class,0.0489,0,0
8,keyboard,sam3_class,0.049,0,0
8,mouse,sam3_class,0.0503,0,0
8,floor,sam3_class,0.0497,0,0
8,wall,sam3_class,0.0508,1,0
8,ALL,sam3_full_frame,0.7052,3,0
8,ALL,pointcloud_generation,0.175,0,50000
